Wavelength LR,VIS-LR,NIR-LR,Wavelength HR,VIS-HR,NIR-HR
0.39,0.06069566883523138,0.0,0.39,0.04222015716512918,0.0
0.415,0.13068150127580716,0.0,0.415,0.10492107776293971,0.0
0.44,0.17279982046637277,0.0,0.44,0.13298599244368037,0.0
0.465,0.2096376067453299,0.0,0.45,0.0,0.0
0.49,0.22220058222991781,0.0,0.46,0.0,0.0
0.515,0.22798929062765838,0.0,0.47,0.0,0.0
0.54,0.23441587320553708,0.0,0.5,0.0,0.0
0.565,0.22951206809732505,0.0,0.51,0.18328922352051485,0.0
0.589,0.23003763957408851,0.0,0.535,0.1912524175545844,0.0
0.59,0.21338594790300716,0.0,0.56,0.1961489881363956,0.0
0.615,0.22781258932199244,0.0,0.57,0.0,0.0
0.64,0.24872435164283171,0.0,0.59,0.0,0.0
0.665,0.2619068429655439,0.0,0.61,0.22979378184954552,0.0
0.69,0.256418220393876,0.0,0.635,0.238821809723014,0.0
0.715,0.26637027654385015,0.0,0.66,0.24527659364831947,0.0
0.74,0.26395256035766396,0.0,0.685,0.24028510115101465,0.0
0.765,0.2629919338779078,0.0,0.71,0.2430522310094908,0.0
0.79,0.2543681351828036,0.0,0.72,0.0,0.0
0.815,0.2180843293731055,0.0,0.75,0.0,0.0
0.84,0.2279986614096201,0.0,0.79,0.0,0.0
0.865,0.25010059222533043,0.0,0.8,0.2315973083305773,0.0
0.89,0.2378801017614825,0.0,0.8252,0.1759380397305705,0.0
0.915,0.22796783802538775,0.0,0.85,0.23614982902268075,0.0
0.94,0.10357448679860018,0.0,0.875,0.23570750940689972,0.0
0.95,0.0,0.028669127924789553,0.9,0.2323501633309727,0.0
0.975,0.0,0.22886048057385738,0.925,0.220438809178476,0.0
1.0,0.0,0.23803215395451133,0.93,0.0,0.0
1.025,0.0,0.24930293141346785,0.94,0.0,0.0
1.05,0.0,0.25570985830791193,0.95,0.0,0.0
1.075,0.0,0.26924671073219814,0.975,0.0,0.0
1.1,0.0,0.2737131131595076,1.0,0.0,0.0
1.125,0.0,0.15891155529230472,1.1,0.0,0.0
1.15,0.0,0.2607199372447854,1.2,0.0,0.0
1.175,0.0,0.2842687879399627,1.3,0.0,0.0
1.2,0.0,0.2924273554504424,1.4,0.0,0.0
1.225,0.0,0.29001778972159953,1.5,0.0,0.0
1.25,0.0,0.2869251327384705,1.52,0.0,0.0
1.275,0.0,0.28442305247257016,1.523,0.0,0.19170508860668267
1.3,0.0,0.27927396460458603,1.548,0.0,0.269122911213977
1.325,0.0,0.27363034207574555,1.573,0.0,0.2640494988869773
1.35,0.0,0.214628183250241,1.598,0.0,0.2732827769309444
1.375,0.0,0.05605669150354428,1.623,0.0,0.21952717612331224
1.42,0.0,0.038612876239912476,1.63,0.0,0.0
1.445,0.0,0.21398925434628221,0.0,0.0,0.0
1.47,0.0,0.27920200321090355,0.0,0.0,0.0
1.495,0.0,0.29315581279248,0.0,0.0,0.0
1.52,0.0,0.3071017306757796,0.0,0.0,0.0
1.545,0.0,0.3080010915632485,0.0,0.0,0.0
1.57,0.0,0.27136168417805195,0.0,0.0,0.0
1.595,0.0,0.3032925012741273,0.0,0.0,0.0
1.62,0.0,0.3149418690159088,0.0,0.0,0.0
1.645,0.0,0.30932485414885696,0.0,0.0,0.0
1.67,0.0,0.3166743766362698,0.0,0.0,0.0
1.695,0.0,0.3120211379074929,0.0,0.0,0.0
1.72,0.0,0.2991202618311402,0.0,0.0,0.0
1.745,0.0,0.30380363289095474,0.0,0.0,0.0
1.77,0.0,0.3022129595007778,0.0,0.0,0.0
1.795,0.0,0.2939121140396941,0.0,0.0,0.0
1.81,0.0,0.0,0.0,0.0,0.0
